,tos,sos,spco2,mlotst,o2os,no3os,po4os,sios,dfeos,co3,Cyanobacteria,Proteobacteria,Ascomycota,Bacteroidetes,Firmicutes,Richness,Shannon,bi-cycle,3h4h,Assimilatory_nitrate_reduction,Assimilatory_sulfate_reduction,ATP_synthesis,Calvin_cycle,Cysteine_biosynthesis,Denitrification,Dissimilatory_nitrate_reduction,Dissimilatory_sulfate_reduction,Nitrification,Nitrogen_fixation,Pta-Ack,antenna_proteins,Photosynthetic_electron_transport,Photosystem_I,Photosystem_II,acetyl-CoA_pathway,Sulfur_oxidation
SRR12479655,27.2591025,34.348697,41.31901075,11.4153925,0.209653963,0.001013923,8.45E-05,0.001382157,4.77E-08,0.22449397,0.22105769,0.226480277,0.119460605,0.047021198,0.042952184,3036,4.8484434,0.009846716,0.003765505,0.052298529,0.264330906,0.012853033,0.11515268,0.129499563,0.0398677,0.014968797,0.028230883,0.002779817,0.02983471,0.12503267,0.009655793,0.016313556,0.002944425,0.009346791,0.078511507,0.054766419
SRR12479656,27.9330495,34.057376,40.07268925,14.8223635,0.207038593,0.000136882,2.46E-05,0.001166566,4.97E-08,0.22871674,0.188553487,0.192388322,0.151659739,0.03139687,0.037383869,2959,4.962570676,0.009113534,0.003662874,0.053046882,0.250681927,0.01390655,0.133811895,0.125747617,0.038203157,0.014731283,0.025474752,0.002862106,0.028336065,0.127473731,0.009173284,0.016963332,0.002644368,0.008952984,0.071975573,0.063238086
SRR12479657,28.17141925,33.970956,39.9377765,15.65589925,0.205597378,8.18E-05,2.27E-05,0.001128591,4.58E-08,0.229352018,0.181137127,0.173335149,0.157443994,0.035720848,0.036751019,3040,4.974208885,0.007117272,0.002964949,0.046042272,0.213025572,0.014161019,0.202061073,0.117471155,0.031030206,0.011748779,0.021748675,0.002185417,0.023097993,0.124486221,0.008023511,0.01668373,0.002757695,0.008403414,0.056521963,0.090469085
SRR12479658,28.1934705,33.96959525,39.83310975,15.32768525,0.205312522,7.10E-05,2.17E-05,0.00112169,4.44E-08,0.229801785,0.175021917,0.285345179,0.1134414,0.043876864,0.046749773,3060,4.96386989,0.008114068,0.003916187,0.048793966,0.253213876,0.013546,0.132452555,0.127387623,0.037372831,0.015215726,0.028630074,0.002678321,0.030369013,0.129590476,0.009218064,0.016149266,0.003421151,0.012326478,0.066138202,0.061466125
SRR12479659,28.47432925,33.60627675,39.946953,18.45464575,0.204192383,7.70E-05,2.84E-05,0.001104748,5.02E-08,0.226192865,0.333402179,0.219622188,0.094901118,0.038426324,0.043844165,3011,4.301146102,0.009161884,0.004351962,0.053805033,0.285639432,0.01226844,0.083335892,0.141618955,0.041768094,0.017209817,0.031681534,0.002967735,0.034958677,0.122570415,0.010151588,0.017076533,0.003256441,0.009288869,0.075567286,0.043321412
SRR12479660,28.244331,33.4407105,40.1077635,19.91849725,0.204929905,9.90E-05,3.24E-05,0.001197538,6.32E-08,0.22234952,0.719129669,0.087846416,0.044557076,0.015894025,0.015011343,3002,2.146691663,0.006040037,0.003733762,0.049943847,0.270901916,0.014857737,0.111632086,0.138279947,0.03669923,0.016112723,0.032606274,0.00288173,0.033273433,0.117600848,0.008876626,0.021068678,0.005946118,0.01202716,0.055703917,0.06181393
SRR12479661,28.244331,33.4407105,40.1077635,19.91849725,0.204929905,9.90E-05,3.24E-05,0.001197538,6.32E-08,0.22234952,0.573571386,0.088991281,0.090701539,0.012168385,0.012396638,2976,3.064235588,0.009251008,0.00289523,0.049407194,0.22874797,0.016132015,0.170989695,0.119463952,0.033037103,0.011834921,0.022789208,0.002348591,0.022383487,0.138434816,0.007938913,0.018806531,0.003696644,0.007524172,0.068322197,0.065996353
SRR12479662,28.09840025,33.44018,40.20139725,22.9306705,0.20504952,5.88E-05,2.68E-05,0.001255934,7.72E-08,0.221357033,0.624077075,0.160582145,0.044162036,0.023761889,0.02287696,3017,2.617350911,0.006491538,0.004661741,0.052573965,0.296648477,0.014140943,0.075822593,0.150354175,0.040698442,0.018547444,0.037784217,0.003172956,0.038745366,0.120421605,0.009908753,0.020303699,0.005224804,0.011395851,0.060513275,0.032590155
SRR12479663,19.091988,35.50977775,39.10046,23.28446775,0.24051294,1.70E-05,2.05E-05,0.001149825,2.00E-07,0.201328928,0.528316546,0.183786142,0.055618691,0.042031122,0.036234069,2970,3.296559316,0.006207972,0.004740795,0.056915436,0.30388117,0.012762243,0.068173488,0.152562209,0.042499997,0.019771766,0.039674754,0.00327715,0.041020624,0.11635401,0.010492083,0.019343358,0.003232444,0.009276108,0.062450738,0.027363655
SRR12479664,28.1947995,33.412922,40.17008025,22.44758925,0.204601433,4.62E-05,2.53E-05,0.001218341,7.52E-08,0.221600555,0.607903268,0.140581603,0.056777442,0.021958707,0.022092976,3030,2.766054719,0.006535201,0.004082736,0.049912311,0.276700539,0.014272961,0.11045862,0.137237152,0.037965985,0.016571344,0.033118053,0.002851644,0.034150496,0.12484331,0.009195826,0.019952836,0.004367751,0.01006228,0.058451191,0.049269764
SRR12479665,28.2271965,33.52095025,40.244438,27.15166725,0.204209873,5.62E-05,2.26E-05,0.001245234,1.02E-07,0.223092733,0.592978485,0.164048403,0.047538105,0.0280132,0.022284742,3015,2.817044286,0.009042823,0.00470457,0.054661541,0.301585964,0.013919058,0.063025888,0.144289386,0.044226797,0.018617199,0.03596949,0.003250324,0.037900363,0.121681848,0.01077595,0.018909746,0.003934707,0.011735296,0.076067409,0.025701642
SRR12479666,29.1791365,33.5032955,41.25626825,18.88124975,0.200844568,1.22E-05,1.70E-05,0.001198415,1.37E-07,0.22473433,0.589786822,0.127667803,0.062886699,0.019573721,0.021228249,2994,2.884141009,0.005875809,0.003799155,0.04909706,0.24945667,0.016155137,0.144596608,0.131045893,0.03464074,0.014912737,0.030299917,0.002760997,0.030824647,0.125079182,0.008979287,0.018794208,0.004474759,0.011653049,0.051309304,0.066244841
SRR12479667,29.2681315,33.59665375,41.40005875,20.15974025,0.200225053,6.08E-06,1.78E-05,0.001165059,1.28E-07,0.225971078,0.587491627,0.155776015,0.054978319,0.023845403,0.022895653,2986,2.849740773,0.005873102,0.004017564,0.045798288,0.266100988,0.013739887,0.130538411,0.144204194,0.035188668,0.015916918,0.03293342,0.002781822,0.032933961,0.122054283,0.008811071,0.018962481,0.005113588,0.013755608,0.051828324,0.04944742
SRR12479669,29.19305925,33.6530785,41.356778,19.220949,0.200425303,5.69E-06,1.80E-05,0.001152127,1.24E-07,0.226432405,0.571337708,0.175973009,0.049573491,0.02722144,0.025612508,3042,3.03451169,0.00741286,0.004538153,0.050185174,0.287609762,0.014059802,0.086304246,0.139856996,0.041169376,0.017630454,0.034823529,0.003100389,0.036840043,0.125448667,0.010026213,0.019001572,0.004023737,0.01182468,0.065639323,0.040505024
SRR12479670,28.8496225,33.86181825,41.43682125,13.10319425,0.201127228,7.11E-06,1.98E-05,0.001182632,1.19E-07,0.227154945,0.583514921,0.129175572,0.06525608,0.019621261,0.021632641,3017,2.966962176,0.005752452,0.003873226,0.046352917,0.251897491,0.014912439,0.157925774,0.123278463,0.034978486,0.015258682,0.030599405,0.002628089,0.031214313,0.131241709,0.009100086,0.018573876,0.004260692,0.014601983,0.052023012,0.051526905
SRR12479671,28.39535225,34.140278,41.607659,13.0601445,0.202100638,8.67E-06,2.24E-05,0.001258421,1.20E-07,0.228081553,0.617591695,0.14530191,0.046977873,0.02386094,0.022941631,3018,2.747685015,0.007252153,0.004329788,0.048608875,0.277097907,0.01505844,0.099915416,0.137772313,0.039757389,0.017128443,0.034349275,0.003121754,0.035499364,0.125008449,0.010025947,0.019811352,0.004598094,0.012854843,0.062985238,0.04482496
SRR12479672,28.39535225,34.140278,41.607659,13.0601445,0.202100638,8.67E-06,2.24E-05,0.001258421,1.20E-07,0.228081553,0.589671836,0.134526621,0.058073492,0.023251937,0.023165399,3024,2.947257882,0.007155527,0.004006192,0.050506413,0.268221456,0.014175259,0.109599987,0.136638876,0.038038834,0.016264134,0.031674802,0.002903636,0.033234032,0.129704522,0.009609981,0.019158787,0.00399418,0.012800664,0.061572573,0.050740144
SRR12479673,28.37696175,34.40769075,42.2138735,14.7387315,0.202386575,1.10E-05,3.06E-05,0.001391071,1.41E-07,0.230227948,0.679640927,0.07757759,0.05951175,0.011643259,0.013707547,3025,2.387802418,0.005666681,0.003177542,0.044036968,0.22731031,0.017180949,0.19055464,0.117448018,0.030933387,0.013068993,0.026344781,0.002379884,0.026908984,0.135444836,0.007894241,0.02039074,0.00564813,0.011942958,0.048228005,0.065439954
SRR12479674,20.111035,35.957362,39.28295725,20.49544175,0.2354005,1.04E-05,2.30E-05,0.001100327,1.72E-07,0.212032295,0.748934688,0.067704368,0.041911862,0.012075779,0.014309556,2981,2.05573886,0.008705677,0.003877198,0.054476548,0.282489172,0.015190939,0.092555381,0.134575394,0.039828569,0.016454341,0.032596936,0.002998699,0.033091654,0.122786598,0.009437978,0.022613474,0.005585061,0.011363166,0.071677581,0.039695633
SRR12479675,27.5814325,34.62276025,40.00718325,16.78647325,0.20479918,4.91E-06,1.01E-05,0.00149651,4.46E-07,0.234289545,0.581502821,0.145483507,0.064890829,0.022220085,0.021376466,3014,2.964571207,0.007758717,0.003887399,0.053055771,0.253935973,0.016014463,0.138057704,0.126743388,0.036674531,0.015018796,0.029806812,0.002805609,0.030454093,0.133335808,0.009080952,0.018912534,0.003991092,0.008367014,0.06222766,0.049871684
SRR12479676,27.54708375,34.641951,40.02997225,17.39109275,0.204892368,5.00E-06,1.01E-05,0.0014925,4.65E-07,0.23428797,0.621869979,0.153914217,0.054463058,0.019435809,0.020355145,2913,2.793874238,0.011337311,0.004080235,0.091577941,0.282205971,0.013288337,0.067757134,0.135463401,0.04260709,0.016797727,0.031457063,0.003000292,0.032688025,0.119160934,0.009172145,0.017795629,0.003038286,0.006651174,0.085392805,0.026528501
SRR12479677,27.5814325,34.62276025,40.00718325,16.78647325,0.20479918,4.91E-06,1.01E-05,0.00149651,4.46E-07,0.234289545,0.55382467,0.165651618,0.065417742,0.023351323,0.023179889,2918,3.157520122,0.009609939,0.003897243,0.066668465,0.266177762,0.013761515,0.102509947,0.129292465,0.039753517,0.015638154,0.029085071,0.003063008,0.030723904,0.127708548,0.009853367,0.018220942,0.003094055,0.007310439,0.07580215,0.047829509
SRR12479678,28.2905385,36.284891,44.30434475,15.31882488,0.20285298,0.000335484,3.42E-06,0.001295826,1.22E-06,0.24775461,0.640913388,0.157262884,0.04272285,0.023191321,0.023156174,3004,2.557310669,0.006471351,0.004640184,0.052283955,0.295883472,0.015461576,0.081391398,0.144337417,0.041016298,0.018315714,0.038973078,0.003317949,0.038681291,0.12207355,0.010604226,0.021870359,0.005549455,0.012053506,0.061802679,0.025272541
SRR12479680,27.15353675,34.7352045,39.952409,18.25144175,0.20614824,3.43E-06,1.07E-05,0.001506452,4.42E-07,0.233556653,0.532319121,0.207637344,0.060430854,0.02169645,0.021878165,2925,3.168419152,0.009495831,0.004044695,0.073152152,0.271904181,0.01334389,0.090528191,0.130405762,0.040646766,0.015851409,0.029809888,0.003041542,0.031199083,0.128562032,0.009157566,0.018424631,0.003058814,0.006634768,0.077749413,0.042989385
SRR12479681,27.18118425,34.730216,39.93557725,18.33013775,0.2060189,3.48E-06,1.09E-05,0.001497779,4.65E-07,0.233712763,0.527088338,0.18580539,0.066597676,0.020471842,0.035723735,2901,3.231626248,0.011011584,0.003767772,0.084333782,0.270637177,0.013378469,0.083304245,0.130245712,0.041259967,0.015755687,0.028404626,0.002882789,0.030414959,0.124615992,0.009625371,0.017000754,0.002632304,0.005891703,0.083979637,0.04085747
SRR12479682,27.15353675,34.7352045,39.952409,18.25144175,0.20614824,3.43E-06,1.07E-05,0.001506452,4.42E-07,0.233556653,0.524553553,0.166434917,0.07757288,0.01832545,0.018060708,2892,3.199846425,0.008370299,0.003235226,0.056277514,0.230548839,0.016919919,0.166112216,0.11712873,0.033541708,0.013009801,0.024477735,0.002520296,0.024983614,0.138648808,0.008550727,0.018289626,0.003325479,0.007094753,0.063511431,0.06345328
SRR12479683,27.15353675,34.7352045,39.952409,18.25144175,0.20614824,3.43E-06,1.07E-05,0.001506452,4.42E-07,0.233556653,0.623792477,0.177705669,0.043577174,0.022853148,0.020498233,2921,2.585567409,0.007454772,0.004199824,0.063114973,0.286145178,0.014466013,0.084435292,0.142712097,0.040754374,0.01789044,0.034989888,0.00311753,0.036205463,0.125546288,0.009875327,0.019538293,0.00447184,0.008035357,0.065737511,0.031309537
SRR12479684,26.77625975,34.8054445,39.7770095,18.5399745,0.207355803,2.95E-06,1.17E-05,0.001503332,4.55E-07,0.232953793,0.559489438,0.167145051,0.064758423,0.025441935,0.023779557,2991,3.112379487,0.008385038,0.003927864,0.058139087,0.264348356,0.014370348,0.122306682,0.132633218,0.038375049,0.015689526,0.030553147,0.002779751,0.031401223,0.129225811,0.00944698,0.018205457,0.00343892,0.00685621,0.067179806,0.042737528
SRR12479685,26.78712425,34.819541,39.83580875,19.128027,0.207316863,2.86E-06,1.13E-05,0.001512474,4.36E-07,0.232993293,0.545210622,0.164016954,0.067157685,0.027390364,0.025872329,2950,3.168458939,0.007319504,0.003994174,0.051752466,0.258396799,0.015571468,0.135151117,0.136007558,0.037145807,0.015595126,0.03129354,0.002809811,0.031361792,0.130201178,0.008800099,0.019067717,0.003648658,0.007219499,0.061871291,0.042792396
SRR12479686,26.78712425,34.819541,39.83580875,19.128027,0.207316863,2.86E-06,1.13E-05,0.001512474,4.36E-07,0.232993293,0.564751486,0.155642369,0.063920059,0.025468974,0.024406344,2965,3.046724573,0.007947968,0.003940026,0.058327278,0.262265423,0.014344164,0.118426673,0.132599228,0.037618832,0.015484542,0.030473639,0.002750662,0.030988814,0.131573612,0.0088868,0.018500527,0.003424535,0.007272729,0.065910552,0.049263995
SRR12479687,26.44499275,34.917882,39.8539815,20.4615915,0.208351413,2.05E-06,1.17E-05,0.001522576,4.14E-07,0.232262,0.560441133,0.150913576,0.067186982,0.025517254,0.024485525,2972,3.102934064,0.008114045,0.003755832,0.060812656,0.257582127,0.014070472,0.126497405,0.129396695,0.037866427,0.01520261,0.02924106,0.002735275,0.029990951,0.132681841,0.009216304,0.018177968,0.00313633,0.007230349,0.065798552,0.048493101
SRR12479688,26.44499275,34.917882,39.8539815,20.4615915,0.208351413,2.05E-06,1.17E-05,0.001522576,4.14E-07,0.232262,0.520239845,0.144867682,0.08666137,0.021578613,0.02330828,2952,3.331872978,0.008064017,0.003548728,0.061319385,0.250223807,0.013449635,0.14085762,0.127826651,0.036372275,0.014485758,0.027590242,0.002762525,0.028639067,0.130449805,0.008980145,0.017492243,0.0027596,0.006995509,0.06376011,0.05442288
SRR12479689,26.397004,34.9101315,39.780065,20.11776125,0.208532475,2.09E-06,1.20E-05,0.001515505,4.26E-07,0.232147483,0.520592718,0.120390397,0.091923097,0.020002212,0.020137632,2964,3.317752916,0.00630703,0.002721687,0.049782103,0.198982864,0.019057705,0.232834794,0.110985147,0.027118216,0.010755077,0.021656704,0.001952038,0.020626785,0.144701384,0.007078673,0.017814499,0.003517308,0.006690138,0.048616396,0.068801453
SRR12479690,27.62305475,36.4261855,43.417873,19.838701,0.204954265,0.000397253,4.30E-06,0.001335822,1.06E-06,0.24872557,0.632267634,0.13716823,0.044430767,0.019735601,0.019996543,3026,2.716101479,0.008722564,0.004578884,0.057247538,0.292198487,0.014186494,0.073791301,0.141544172,0.043894636,0.018253891,0.034368177,0.003220385,0.036839798,0.121595736,0.011299003,0.019206018,0.00386317,0.012363657,0.074601297,0.028224792
SRR12479691,26.44499275,34.917882,39.8539815,20.4615915,0.208351413,2.05E-06,1.17E-05,0.001522576,4.14E-07,0.232262,0.606941635,0.155350509,0.055709541,0.023431381,0.024435951,2978,2.84788591,0.010206646,0.004248236,0.090676587,0.289154914,0.013101769,0.063258635,0.138099473,0.043005274,0.017608162,0.032456231,0.003089698,0.034501917,0.116585678,0.009458683,0.017373675,0.002700854,0.006321051,0.080752219,0.0274003
SRR12479692,25.98742925,35.0898305,39.9832165,19.842742,0.209725363,1.34E-06,1.23E-05,0.001536279,3.82E-07,0.231443338,0.572976316,0.143584337,0.064558941,0.021914688,0.023557833,2961,2.993182544,0.00709573,0.003922099,0.06214411,0.264407656,0.013614208,0.121005397,0.132245225,0.037067871,0.015930513,0.030562811,0.00281393,0.032056558,0.125166375,0.009450326,0.018326339,0.003300804,0.007950807,0.059601913,0.053337327
SRR12479693,25.98742925,35.0898305,39.9832165,19.842742,0.209725363,1.34E-06,1.23E-05,0.001536279,3.82E-07,0.231443338,0.542318674,0.127881423,0.08226801,0.019724658,0.019964847,2977,3.186349486,0.00681779,0.003417272,0.050429624,0.238484236,0.017183697,0.159422245,0.12462852,0.034136513,0.014140348,0.027365654,0.002534483,0.027527269,0.131470126,0.008375451,0.01946943,0.00350152,0.007470536,0.056864669,0.066760618
SRR12479694,25.98742925,35.0898305,39.9832165,19.842742,0.209725363,1.34E-06,1.23E-05,0.001536279,3.82E-07,0.231443338,0.438451128,0.149458022,0.086489123,0.033752101,0.043532331,3010,3.964474085,0.009276636,0.004420987,0.052481558,0.291823563,0.013738188,0.071253635,0.142304867,0.044126042,0.018472492,0.032753228,0.003186173,0.035984756,0.122679457,0.012281599,0.01788629,0.002877548,0.010720239,0.078729281,0.035003461
SRR12479695,25.98742925,35.0898305,39.9832165,19.842742,0.209725363,1.34E-06,1.23E-05,0.001536279,3.82E-07,0.231443338,0.579686928,0.149446509,0.068064686,0.024983174,0.024562908,2930,2.963685327,0.007090622,0.004100613,0.063903728,0.272145045,0.013703309,0.104912556,0.134147962,0.038553325,0.016530278,0.031522751,0.002841171,0.033274272,0.124133108,0.009512927,0.019009068,0.003213385,0.006785604,0.061594435,0.05302584
SRR12479696,25.52832625,35.19288275,40.05682275,22.89091125,0.211404385,9.42E-07,1.33E-05,0.001533337,3.72E-07,0.229919148,0.578149036,0.140801198,0.067501611,0.024738342,0.022928361,2968,3.035413933,0.00805948,0.003758462,0.063278595,0.257340878,0.013973019,0.127233814,0.129603533,0.036331952,0.014978762,0.029564739,0.002662416,0.029980696,0.125703524,0.008880045,0.018334112,0.003346917,0.006586217,0.062526943,0.057855895
SRR12479697,25.52832625,35.19288275,40.05682275,22.89091125,0.211404385,9.42E-07,1.33E-05,0.001533337,3.72E-07,0.229919148,0.490647984,0.175072291,0.078402424,0.029295752,0.033208272,2992,3.476581114,0.007736179,0.003641813,0.055596793,0.24884278,0.014103213,0.143613953,0.127646354,0.035759746,0.014489936,0.028454055,0.002539547,0.02884193,0.131971027,0.008816347,0.017804383,0.003053539,0.006126404,0.063225774,0.057736228
SRR12479698,25.52832625,35.19288275,40.05682275,22.89091125,0.211404385,9.42E-07,1.33E-05,0.001533337,3.72E-07,0.229919148,0.545649852,0.185249346,0.06286673,0.027826595,0.02796549,2969,3.097040184,0.008209089,0.004369851,0.080692183,0.287016953,0.013093128,0.075585897,0.139170843,0.041399791,0.017780086,0.033775186,0.003236577,0.035996319,0.119863637,0.009643272,0.017760108,0.003002032,0.006358108,0.069168382,0.033878557
SRR12479699,25.0805465,35.28618425,39.939381,22.62483275,0.21301005,8.50E-07,1.38E-05,0.001537022,3.44E-07,0.228953705,0.563545188,0.154006588,0.065956798,0.02752314,0.026423465,2999,3.096310075,0.007914936,0.00409179,0.06680841,0.274999458,0.013574807,0.099387373,0.135404339,0.039692313,0.016789388,0.031668445,0.002896256,0.033009264,0.125160798,0.009384194,0.018921502,0.003252057,0.006316777,0.067411535,0.043316357
SRR12479700,25.0805465,35.28618425,39.939381,22.62483275,0.21301005,8.50E-07,1.38E-05,0.001537022,3.44E-07,0.228953705,0.521445637,0.17136592,0.070855265,0.029136416,0.027384479,2991,3.279191142,0.007057507,0.003904017,0.054975428,0.260526419,0.014144015,0.127718828,0.133911614,0.036978644,0.015923227,0.030952983,0.002824926,0.031350039,0.129046852,0.009068399,0.018536617,0.003229227,0.006431655,0.059973095,0.053446508
SRR12479701,27.3415545,36.4707225,43.231377,24.5698185,0.204955908,0.000328563,3.64E-06,0.001239584,1.04E-06,0.248090635,0.587819661,0.156996905,0.048013668,0.021470744,0.021338695,3029,2.729542213,0.00709327,0.004337959,0.050301967,0.279432382,0.015177283,0.097746088,0.139453397,0.040491905,0.01766823,0.035537847,0.003152051,0.036288395,0.124515415,0.010189474,0.020076621,0.004396795,0.0142063,0.062895019,0.0370396
SRR12479702,25.22856575,35.222615,39.85549,22.41143375,0.212461633,9.05E-07,1.36E-05,0.001532387,3.66E-07,0.229272075,0.426117221,0.186029273,0.092953452,0.031752687,0.029302177,3021,3.760929804,0.006597083,0.003298828,0.049401331,0.226058755,0.014899924,0.191116398,0.123197726,0.031906652,0.013067625,0.025612106,0.002368819,0.025328681,0.135951671,0.008326277,0.01708629,0.002658159,0.005424111,0.053854555,0.06384501
SRR12479703,24.6113215,35.39254225,40.00444125,22.5279785,0.214697725,8.29E-07,1.48E-05,0.001534263,3.26E-07,0.2274023,0.478656069,0.187253809,0.082263109,0.031238081,0.029151871,3009,3.550764053,0.008742294,0.004142637,0.066480991,0.278478231,0.012624826,0.094150586,0.137503013,0.041155807,0.016976441,0.031683388,0.003066676,0.033440316,0.128101974,0.01028793,0.017791569,0.002481866,0.005364379,0.071603809,0.035923267
SRR12479704,24.75547675,35.32804025,39.81030525,20.7664695,0.21410105,9.25E-07,1.44E-05,0.001532291,3.51E-07,0.22806255,0.477152513,0.185615482,0.078046253,0.033152234,0.030285441,2946,3.49793937,0.006433549,0.003479476,0.058143482,0.245578907,0.014984129,0.143686236,0.132674601,0.032628074,0.013518419,0.033212537,0.002256716,0.027374572,0.131836585,0.0077762,0.022449311,0.005270239,0.009289147,0.054030368,0.055377454
SRR12479705,24.75547675,35.32804025,39.81030525,20.7664695,0.21410105,9.25E-07,1.44E-05,0.001532291,3.51E-07,0.22806255,0.467190632,0.184840173,0.083209199,0.031492774,0.02899673,2820,3.594462323,0.008538724,0.003649491,0.060949424,0.258441397,0.013129988,0.128608482,0.127270474,0.037465589,0.015203439,0.029113489,0.002804823,0.029407568,0.138156369,0.008774829,0.016831707,0.002740741,0.005320945,0.066981634,0.046610885
SRR12479706,24.75547675,35.32804025,39.81030525,20.7664695,0.21410105,9.25E-07,1.44E-05,0.001532291,3.51E-07,0.22806255,0.440521294,0.205371437,0.082933099,0.03175727,0.032851138,2889,3.670842123,0.008739449,0.003836879,0.062384707,0.264347397,0.013234736,0.118735639,0.130623232,0.038210054,0.015773975,0.029995721,0.002808441,0.030387333,0.136515233,0.008949186,0.017525125,0.002449336,0.005153951,0.069205384,0.041124221
